更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
广西卫视,http://182.135.34.97:888/rtp/239.94.0.89:5140$四川电信
广西卫视,http://121.238.250.95:8800/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://111.193.235.246:8888/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
东南卫视,http://113.120.108.132:4000/rtp/239.21.1.113:5002$山东电信
东南卫视,http://116.237.61.115:4022/rtp/233.18.204.94:5140$上海市电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://182.135.34.97:888/rtp/239.94.0.80:5140$四川电信
东南卫视,http://121.238.250.95:8800/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://111.193.235.246:8888/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
海南卫视,http://113.120.108.132:4000/rtp/239.21.2.14:5002$山东电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://121.238.250.95:8800/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://111.193.235.246:8888/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
河北卫视,http://113.120.108.132:4000/rtp/239.21.1.168:5002$山东电信
河北卫视,http://116.237.61.115:4022/rtp/233.18.204.103:5140$上海市电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://182.135.34.97:888/rtp/239.94.0.86:5140$四川电信
河北卫视,http://121.238.250.95:8800/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://111.193.235.246:8888/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河南卫视,http://113.120.108.132:4000/rtp/239.21.2.37:5002$山东电信
河南卫视,http://116.237.61.115:4022/rtp/233.18.204.105:5140$上海市电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://182.135.34.97:888/rtp/239.94.0.88:5140$四川电信
河南卫视,http://121.238.250.95:8800/rtp/239.49.8.29:8000$江苏电信
